cuda: True
Files already downloaded and verified
Files already downloaded and verified
2000
Epoch 78 Train Loss: 286.2572523653507
Epoch: 78 True Loss: 319.3068498969078
Epoch: 78 Val Acc: 0.364
Epoch 79 Train Loss: 286.51041799783707
Epoch: 79 True Loss: 321.643941283226
Epoch: 79 Val Acc: 0.3555
Epoch 80 Train Loss: 286.78360176086426
Epoch: 80 True Loss: 316.24408888816833
Epoch: 80 Val Acc: 0.3625
Epoch 81 Train Loss: 285.0339029431343
Epoch: 81 True Loss: 318.48805129528046
Epoch: 81 Val Acc: 0.378
Epoch 82 Train Loss: 286.1496153473854
Epoch: 82 True Loss: 325.50569146871567
Epoch: 82 Val Acc: 0.3505
Epoch 83 Train Loss: 286.5226404070854
Epoch: 83 True Loss: 319.2652971148491
Epoch: 83 Val Acc: 0.3775
Epoch 84 Train Loss: 281.59637558460236
Epoch: 84 True Loss: 316.1158038377762
Epoch: 84 Val Acc: 0.365
Epoch 85 Train Loss: 276.99847999215126
Epoch: 85 True Loss: 310.3443373441696
Epoch: 85 Val Acc: 0.3885
Epoch 86 Train Loss: 279.62276577949524
Epoch: 86 True Loss: 318.8361465930939
Epoch: 86 Val Acc: 0.3525
Epoch 87 Train Loss: 281.2492895126343
Epoch: 87 True Loss: 306.7017123103142
Epoch: 87 Val Acc: 0.401
Epoch 88 Train Loss: 276.90812170505524
Epoch: 88 True Loss: 307.96060052514076
Epoch: 88 Val Acc: 0.3795
Epoch 89 Train Loss: 276.4178465306759
Epoch: 89 True Loss: 307.88318502902985
Epoch: 89 Val Acc: 0.382
Epoch 90 Train Loss: 274.6482816040516
Epoch: 90 True Loss: 314.86219051480293
Epoch: 90 Val Acc: 0.3865
Epoch 91 Train Loss: 275.7156924903393
Epoch: 91 True Loss: 307.80150467157364
Epoch: 91 Val Acc: 0.3915
Epoch 92 Train Loss: 273.7938773930073
Epoch: 92 True Loss: 305.70782405138016
Epoch: 92 Val Acc: 0.396
Epoch 93 Train Loss: 271.73314982652664
Epoch: 93 True Loss: 309.02765384316444
Epoch: 93 Val Acc: 0.387
Epoch 94 Train Loss: 273.51209396123886
Epoch: 94 True Loss: 323.9686803817749
Epoch: 94 Val Acc: 0.3575
Epoch 95 Train Loss: 273.91068133711815
Epoch: 95 True Loss: 302.28039571642876
Epoch: 95 Val Acc: 0.386
Epoch 96 Train Loss: 269.5462749004364
Epoch: 96 True Loss: 306.2849957048893
Epoch: 96 Val Acc: 0.388
Epoch 97 Train Loss: 273.94738909602165
Epoch: 97 True Loss: 302.6400784254074
Epoch: 97 Val Acc: 0.402
Epoch 98 Train Loss: 270.2743113934994
Epoch: 98 True Loss: 300.79356423020363
Epoch: 98 Val Acc: 0.4045
Epoch 99 Train Loss: 267.5171300768852
Epoch: 99 True Loss: 299.64106515049934
Epoch: 99 Val Acc: 0.414
Epoch 100 Train Loss: 270.3077368438244
Epoch: 100 True Loss: 295.1035423576832
Epoch: 100 Val Acc: 0.413
Epoch 101 Train Loss: 269.6998229920864
Epoch: 101 True Loss: 300.09963899850845
Epoch: 101 Val Acc: 0.3955
Epoch 102 Train Loss: 267.78658309578896
Epoch: 102 True Loss: 292.2838444709778
Epoch: 102 Val Acc: 0.418
Epoch 103 Train Loss: 266.5007799267769
Epoch: 103 True Loss: 293.9167174100876
Epoch: 103 Val Acc: 0.419
Epoch 104 Train Loss: 270.8215164542198
Epoch: 104 True Loss: 300.3890287578106
Epoch: 104 Val Acc: 0.3975
Epoch 105 Train Loss: 266.7612619996071
Epoch: 105 True Loss: 300.8882817327976
Epoch: 105 Val Acc: 0.3965
Epoch 106 Train Loss: 266.5774601995945
Epoch: 106 True Loss: 295.6899862587452
Epoch: 106 Val Acc: 0.418
Epoch 107 Train Loss: 267.2421105504036
Epoch: 107 True Loss: 298.41874516010284
Epoch: 107 Val Acc: 0.4085
Epoch 108 Train Loss: 266.22205170989037
Epoch: 108 True Loss: 292.5100668668747
Epoch: 108 Val Acc: 0.422
Epoch 109 Train Loss: 265.44991558790207
Epoch: 109 True Loss: 299.6489186882973
Epoch: 109 Val Acc: 0.3915
Epoch 110 Train Loss: 266.10645577311516
Epoch: 110 True Loss: 298.99872824549675
Epoch: 110 Val Acc: 0.4015
Epoch 111 Train Loss: 265.7052168250084
Epoch: 111 True Loss: 295.41583690047264
Epoch: 111 Val Acc: 0.418
Epoch 112 Train Loss: 265.73727482557297
Epoch: 112 True Loss: 301.49733766913414
Epoch: 112 Val Acc: 0.4005
Epoch 113 Train Loss: 265.5884898900986
Epoch: 113 True Loss: 293.21334394812584
Epoch: 113 Val Acc: 0.4165
Epoch 114 Train Loss: 260.25533363223076
Epoch: 114 True Loss: 293.23180305957794
Epoch: 114 Val Acc: 0.4145
Epoch 115 Train Loss: 264.3768191933632
Epoch: 115 True Loss: 300.0546019077301
Epoch: 115 Val Acc: 0.405
Epoch 116 Train Loss: 264.0864170193672
Epoch: 116 True Loss: 295.5160049498081
Epoch: 116 Val Acc: 0.4175
Epoch 117 Train Loss: 264.1525057256222
Epoch: 117 True Loss: 290.8085033893585
Epoch: 117 Val Acc: 0.4165
Epoch 118 Train Loss: 260.99768653512
Epoch: 118 True Loss: 287.85245645046234
Epoch: 118 Val Acc: 0.4245
Epoch 119 Train Loss: 261.8997787833214
Epoch: 119 True Loss: 292.0885825753212
Epoch: 119 Val Acc: 0.421
Epoch 120 Train Loss: 262.6883357167244
Epoch: 120 True Loss: 298.3963243365288
Epoch: 120 Val Acc: 0.406
Epoch 121 Train Loss: 261.2443028688431
Epoch: 121 True Loss: 294.35063922405243
Epoch: 121 Val Acc: 0.422
Epoch 122 Train Loss: 259.5598518848419
Epoch: 122 True Loss: 290.00991374254227
Epoch: 122 Val Acc: 0.4125
Epoch 123 Train Loss: 261.39342975616455
Epoch: 123 True Loss: 286.5738050043583
Epoch: 123 Val Acc: 0.4285
Epoch 124 Train Loss: 260.2915158569813
Epoch: 124 True Loss: 293.056598842144
Epoch: 124 Val Acc: 0.419
Epoch 125 Train Loss: 258.20634853839874
Epoch: 125 True Loss: 286.66868871450424
Epoch: 125 Val Acc: 0.4255
Epoch 126 Train Loss: 258.16480979323387
Epoch: 126 True Loss: 291.98480889201164
Epoch: 126 Val Acc: 0.4215
Epoch 127 Train Loss: 261.27869310975075
Epoch: 127 True Loss: 300.55490231513977
Epoch: 127 Val Acc: 0.395
Epoch 128 Train Loss: 259.6673682630062
Epoch: 128 True Loss: 289.2061223089695
Epoch: 128 Val Acc: 0.4175
Epoch 129 Train Loss: 260.5788425207138
Epoch: 129 True Loss: 289.5495658516884
Epoch: 129 Val Acc: 0.4235
Epoch 130 Train Loss: 260.08167710900307
Epoch: 130 True Loss: 291.8056004047394
Epoch: 130 Val Acc: 0.4105
Epoch 131 Train Loss: 258.91214141249657
Epoch: 131 True Loss: 284.02993646264076
Epoch: 131 Val Acc: 0.4215
Epoch 132 Train Loss: 261.34492710232735
Epoch: 132 True Loss: 287.78646579384804
Epoch: 132 Val Acc: 0.426
Epoch 133 Train Loss: 261.4229224920273
Epoch: 133 True Loss: 295.38157457113266
Epoch: 133 Val Acc: 0.421
Epoch 134 Train Loss: 263.86006611585617
Epoch: 134 True Loss: 279.9704945385456
Epoch: 134 Val Acc: 0.4425
Epoch 135 Train Loss: 260.80048540234566
Epoch: 135 True Loss: 283.6046913266182
Epoch: 135 Val Acc: 0.4395
Epoch 136 Train Loss: 260.57836681604385
Epoch: 136 True Loss: 293.15850672125816
Epoch: 136 Val Acc: 0.418
Epoch 137 Train Loss: 259.7245666384697
Epoch: 137 True Loss: 290.25629541277885
Epoch: 137 Val Acc: 0.4275
Epoch 138 Train Loss: 256.3506276011467
Epoch: 138 True Loss: 282.3995777964592
Epoch: 138 Val Acc: 0.4415
Epoch 139 Train Loss: 258.3712426126003
Epoch: 139 True Loss: 290.6942307651043
Epoch: 139 Val Acc: 0.4185
Epoch 140 Train Loss: 259.311440885067
Epoch: 140 True Loss: 279.32484433054924
Epoch: 140 Val Acc: 0.4295
Epoch 141 Train Loss: 260.0426534116268
Epoch: 141 True Loss: 283.53989255428314
Epoch: 141 Val Acc: 0.4275
Epoch 142 Train Loss: 257.82451209425926
Epoch: 142 True Loss: 285.62379732728004
Epoch: 142 Val Acc: 0.4325
Epoch 143 Train Loss: 259.0151301920414
Epoch: 143 True Loss: 294.564491301775
Epoch: 143 Val Acc: 0.4065
Epoch 144 Train Loss: 258.77310705184937
Epoch: 144 True Loss: 282.3137367069721
Epoch: 144 Val Acc: 0.43
Epoch 145 Train Loss: 258.96748489141464
Epoch: 145 True Loss: 288.5896439254284
Epoch: 145 Val Acc: 0.4065
Epoch 146 Train Loss: 259.8048418164253
Epoch: 146 True Loss: 288.6640546619892
Epoch: 146 Val Acc: 0.4135
Epoch 147 Train Loss: 258.25640150904655
Epoch: 147 True Loss: 285.3813824355602
Epoch: 147 Val Acc: 0.416
Epoch 148 Train Loss: 256.5592228770256
Epoch: 148 True Loss: 283.98388409614563
Epoch: 148 Val Acc: 0.4215
Epoch 149 Train Loss: 258.0382757484913
Epoch: 149 True Loss: 291.6500388979912
Epoch: 149 Val Acc: 0.41
Epoch 150 Train Loss: 259.0680547654629
Epoch: 150 True Loss: 285.3357974588871
Epoch: 150 Val Acc: 0.4205
Epoch 151 Train Loss: 255.14176562428474
Epoch: 151 True Loss: 284.7553106844425
Epoch: 151 Val Acc: 0.4265
Epoch 152 Train Loss: 256.88368859887123
Epoch: 152 True Loss: 285.29182851314545
Epoch: 152 Val Acc: 0.4285
Epoch 153 Train Loss: 258.47940015792847
Epoch: 153 True Loss: 294.10367450118065
Epoch: 153 Val Acc: 0.409
Epoch 154 Train Loss: 256.8234619796276
Epoch: 154 True Loss: 283.1962188780308
Epoch: 154 Val Acc: 0.4265
Epoch 155 Train Loss: 256.2963622510433
Epoch: 155 True Loss: 285.51358741521835
Epoch: 155 Val Acc: 0.42
Epoch 156 Train Loss: 258.39982241392136
Epoch: 156 True Loss: 283.929585903883
Epoch: 156 Val Acc: 0.426
Epoch 157 Train Loss: 258.3228551745415
Epoch: 157 True Loss: 289.81494280695915
Epoch: 157 Val Acc: 0.4115
Epoch 158 Train Loss: 256.70334869623184
Epoch: 158 True Loss: 284.75985980033875
Epoch: 158 Val Acc: 0.4205
Epoch 159 Train Loss: 257.18026554584503
Epoch: 159 True Loss: 280.4663719534874
Epoch: 159 Val Acc: 0.449
Epoch 160 Train Loss: 258.36125245690346
Epoch: 160 True Loss: 285.4299490749836
Epoch: 160 Val Acc: 0.4305
Epoch 161 Train Loss: 255.82843390107155
Epoch: 161 True Loss: 292.9887709617615
Epoch: 161 Val Acc: 0.3975
Epoch 162 Train Loss: 254.78244575858116
Epoch: 162 True Loss: 280.8343457579613
Epoch: 162 Val Acc: 0.4305
Epoch 163 Train Loss: 256.7204119563103
Epoch: 163 True Loss: 283.5477819442749
Epoch: 163 Val Acc: 0.4235
Epoch 164 Train Loss: 258.6233995258808
Epoch: 164 True Loss: 283.35507118701935
Epoch: 164 Val Acc: 0.4285
Epoch 165 Train Loss: 254.97961980104446
Epoch: 165 True Loss: 287.5827976167202
Epoch: 165 Val Acc: 0.4355
